"sig126 (S1_WT)"	"sig127C (S3_WT)"	"sig130C (T9_Pants)"	"sig131 (T10_Pants)"
"co|CON_P05784|Con"	-0.445775967144048	-0.895072215793853	0.578522997743146	0.762325185194747
"co|CON_P19001|Con"	-0.602193484475048	-1.30733323748675	0.994106642711749	0.915420079250055
"co|CON_P01030|Con"	-0.57374009730005	-0.579984283920851	0.75318572241865	0.400538658802247
"co|CON_ENSBTAP00000024146|Con"	-1.7554926542607	-1.8389004080559	1.7722362887733	1.8221567735433
"co|CON_P05787|Con"	-0.45102794223968	-0.925576083161673	0.680156196252927	0.696447829148426
"co|CON_P08729|Con"	-0.477956597442052	-0.685658283867649	0.498658383233352	0.66495649807635
"co|CON_P01966|Con"	-0.950304967057026	-1.03300476163263	0.967143272195273	1.01616645649437
"co|CON_Q3SX09|Con"	-0.890155668941075	-0.823885556770575	0.453477211778125	1.26056401393353
"co|CON_P02676|Con"	-0.609477978533725	-0.882073975595125	0.941016023182474	0.550535930946374
"co|CON_P02768-1|Con"	-1.7171528214038	-1.8980295345274	1.8101693435968	1.8050130123344
"co|CON_P02769|Con"	-0.519261161554224	-0.516092748599025	0.556049883698773	0.479304026454473
"co|CON_P12763|Con"	-1.22984585793705	-1.42868496829175	1.20489445172895	1.45363637449985
"co|CON_P15497|Con"	-1.98586535986037	-2.00827705499717	1.94117973973433	2.05296267512323
"co|CON_Q05443|Con"	-1.01065793729955	-0.70546576078865	0.603563593727049	1.11256010436115
"co|CON_Q0IIK2|Con"	-0.91843953905855	-0.918021819733049	1.18497889136955	0.651482467422049
"co|CON_Q2UVX4|Con"	-0.895665167015277	-1.34138180618567	0.828186355015422	1.40886061818552
"co|CON_Q2YDI2|Con"	-0.398819818779126	-0.629944529986524	0.354469231620776	0.674295117144872
"co|CON_Q95121|Con"	-0.710629066623998	-0.686634209253603	0.568667040617701	0.828596235259901
"sp|P23475|XRCC6_MOUSE"	-1.02201855807852	-0.711080610938726	0.906484086197278	0.826615082819977
"sp|P63158|HMGB1_MOUSE"	-0.4809217514332	-1.1182768677416	0.775422259773507	0.8237763594013
"tr|Q8CCB2|Q8CCB2_MOUSE"	-0.347068430644299	-0.998396747013	0.681146924158103	0.664318253499204
"sp|P62309|RUXG_MOUSE"	-0.604514116442523	-1.21157808818342	0.936073473344475	0.880018731281476
"sp|Q9D0J8|PTMS_MOUSE"	-1.1324277519001	-1.2704335212806	0.959320264848699	1.443541008332
"sp|P99027|RLA2_MOUSE"	-0.429545583603527	-0.702519324489426	0.551268307062674	0.580796601030272
"sp|P61924|COPZ1_MOUSE"	-0.667919490021751	-0.612972894671447	0.629775821303548	0.65111656338965
"sp|P26350|PTMA_MOUSE"	-1.5200501906269	-1.3412129716076	1.4567768557324	1.4044863065021
"sp|P60843|IF4A1_MOUSE"	-0.717067505552976	-0.714057217519269	0.569937787402726	0.861186935669522
"sp|P62996|TRA2B_MOUSE"	-1.17674681106052	-1.58374207760092	1.39520110694148	1.36528778171997
"sp|Q9CQL1|MGN2_MOUSE"	-0.48958341823138	-1.51229773168617	0.96176221954093	1.04011893037663
"sp|Q569Z6|TR150_MOUSE"	-1.02713146907093	-1.43181587636623	1.19211440189468	1.26683294354247
"sp|P62858|RS28_MOUSE"	-0.297364853041501	-0.716417936410402	0.483224928894298	0.5305578605576
"sp|P62908|RS3_MOUSE"	-0.399352448120847	-0.657278605376948	0.544530078838154	0.512100974659649
